Date,Time,Moisture,Temperature,Humidity,X,Y,Z,R,G,B
11/14/2019,13:26:51,115,124.99,99.99,2,0.24,1,,,
11/14/2019,13:27:02,112,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:27:13,115,124.99,99.99,2,0.25,1,,,
11/14/2019,13:27:24,115,124.99,99.99,2,0.25,1,,,
11/14/2019,13:27:35,111,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:27:46,113,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:27:57,117,124.99,99.99,2,0.25,1,,,
11/14/2019,13:28:08,110,124.99,99.99,2,0.25,1,,,
11/14/2019,13:28:19,112,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:28:30,110,124.99,99.99,2,0.24,1,,,
11/14/2019,13:28:41,112,124.99,99.99,2,0.25,1,,,
11/14/2019,13:28:52,111,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:29:03,111,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:29:14,109,124.99,99.99,2,0.25,0.97,,,
11/14/2019,13:29:25,110,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:29:36,115,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:29:47,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:29:58,109,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:30:09,115,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:30:20,108,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:30:31,109,124.99,99.99,2,0.25,1,,,
11/14/2019,13:30:42,114,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:30:53,110,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:31:04,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:31:15,102,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:31:26,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:31:37,114,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:31:48,114,124.99,99.99,2,0.24,1,,,
11/14/2019,13:31:59,124,124.99,99.99,2,0.25,1,,,
11/14/2019,13:32:10,133,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:32:21,114,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:32:32,108,124.99,99.99,2,0.25,1,,,
11/14/2019,13:32:43,108,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:32:54,110,124.99,99.99,2,0.25,1,,,
11/14/2019,13:33:05,113,124.99,99.99,2,0.25,1,,,
11/14/2019,13:33:16,111,124.99,99.99,2,0.24,1,,,
11/14/2019,13:33:27,113,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:33:38,113,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:33:49,107,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:34:00,109,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:34:11,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:34:22,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:34:33,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:34:44,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:34:55,111,124.99,99.99,2,0.24,1,,,
11/14/2019,13:35:06,110,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:35:17,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:35:28,109,124.99,99.99,2,0.24,1,,,
11/14/2019,13:35:39,111,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:35:50,107,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:36:01,107,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:36:12,112,124.99,99.99,2,0.24,1,,,
11/14/2019,13:36:23,107,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:36:34,109,124.99,99.99,2,0.25,1,,,
11/14/2019,13:36:45,113,124.99,99.99,2,0.25,1,,,
11/14/2019,13:36:56,108,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:37:07,110,124.99,99.99,2,0.24,1,,,
11/14/2019,13:37:18,113,124.99,99.99,2,0.24,1,,,
11/14/2019,13:37:29,113,124.99,99.99,2,0.24,1,,,
11/14/2019,13:37:40,113,124.99,99.99,2,0.25,1,,,
11/14/2019,13:37:51,108,124.99,99.99,2,0.25,1,,,
11/14/2019,13:38:02,105,124.99,99.99,2,0.24,1,,,
11/14/2019,13:38:13,114,124.99,99.99,2,0.25,1,,,
11/14/2019,13:38:24,91,124.99,99.99,2,0.24,1.02,,,
11/14/2019,13:38:35,110,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:38:46,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:38:57,106,124.99,99.99,2,0.24,1.02,,,
11/14/2019,13:39:08,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:39:19,107,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:39:30,104,124.99,99.99,2,0.24,1,,,
11/14/2019,13:39:41,105,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:39:52,104,124.99,99.99,2,0.24,0.99,,,
11/14/2019,13:40:03,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:40:14,103,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:40:25,105,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:40:36,104,124.99,99.99,2,0.24,1,,,
11/14/2019,13:40:47,110,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:41:00,270,124.99,99.99,2,0.24,1,,,
11/14/2019,13:41:11,112,124.99,99.99,2,0.24,1,,,
11/14/2019,13:41:22,89,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:41:33,109,124.99,99.99,2,0.25,1,,,
11/14/2019,13:41:44,110,124.99,99.99,2,0.24,0.99,,,
11/14/2019,13:41:55,114,124.99,99.99,2,0.24,1,,,
11/14/2019,13:42:06,108,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:42:17,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:42:28,111,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:42:39,108,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:42:50,108,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:43:01,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:43:12,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:43:23,108,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:43:34,107,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:43:45,107,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:43:56,111,124.99,99.99,2,0.24,0.99,,,
11/14/2019,13:44:07,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:44:18,107,124.99,99.99,2,0.24,0.99,,,
11/14/2019,13:44:29,107,124.99,99.99,2,0.24,1,,,
11/14/2019,13:44:40,106,124.99,99.99,2,0.24,1,,,
11/14/2019,13:44:51,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:45:02,112,124.99,99.99,2,0.24,1,,,
11/14/2019,13:45:13,107,124.99,99.99,2,0.24,1,,,
11/14/2019,13:45:24,107,124.99,99.99,2,0.25,1,,,
11/14/2019,13:45:35,107,124.99,99.99,2,0.24,0.97,,,
11/14/2019,13:45:46,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:45:57,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:46:08,107,124.99,99.99,2,0.24,0.99,,,
11/14/2019,13:46:19,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:46:30,107,124.99,99.99,2,0.24,1,,,
11/14/2019,13:46:41,107,124.99,99.99,2,0.24,1.02,,,
11/14/2019,13:46:52,113,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:47:03,111,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:47:14,108,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:47:25,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:47:36,112,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:47:47,109,124.99,99.99,2,0.25,1,,,
11/14/2019,13:47:58,108,124.99,99.99,2,0.25,1,,,
11/14/2019,13:48:09,112,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:48:20,109,124.99,99.99,2,0.25,1,,,
11/14/2019,13:48:31,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:48:42,108,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:48:53,108,124.99,99.99,2,0.25,1,,,
11/14/2019,13:49:04,113,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:49:15,113,124.99,99.99,2,0.24,0.99,,,
11/14/2019,13:49:26,107,124.99,99.99,2,0.24,1,,,
11/14/2019,13:49:37,102,124.99,99.99,2,0.24,1,,,
11/14/2019,13:49:48,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:49:59,113,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:50:10,108,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:50:21,112,124.99,99.99,2,0.25,1,,,
11/14/2019,13:50:32,111,124.99,99.99,2,0.24,1,,,
11/14/2019,13:50:43,113,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:50:54,109,124.99,99.99,2,0.25,1,,,
11/14/2019,13:51:05,112,124.99,99.99,2,0.24,1,,,
11/14/2019,13:51:16,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:51:27,108,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:51:38,112,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:51:49,109,124.99,99.99,2,0.24,1,,,
11/14/2019,13:52:00,113,124.99,99.99,2,0.24,1,,,
11/14/2019,13:52:11,108,124.99,99.99,2,0.24,1,,,
11/14/2019,13:52:22,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:52:33,108,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:52:44,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:52:55,110,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:53:06,110,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:53:17,109,124.99,99.99,2,0.25,1,,,
11/14/2019,13:53:28,109,124.99,99.99,2,0.24,1,,,
11/14/2019,13:53:39,109,124.99,99.99,2,0.24,0.99,,,
11/14/2019,13:53:50,110,124.99,99.99,2,0.25,1.01,,,
11/14/2019,13:54:01,113,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:54:12,115,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:54:23,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:54:34,110,124.99,99.99,2,0.24,1,,,
11/14/2019,13:54:45,98,124.99,99.99,2,0.24,1,,,
11/14/2019,13:54:56,110,124.99,99.99,2,0.24,1,,,
11/14/2019,13:55:07,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:55:18,114,124.99,99.99,2,0.24,1,,,
11/14/2019,13:55:29,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:55:40,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:55:51,111,124.99,99.99,2,0.24,1,,,
11/14/2019,13:56:02,110,124.99,99.99,2,0.24,0.99,,,
11/14/2019,13:56:13,109,124.99,99.99,2,0.24,1,,,
11/14/2019,13:56:24,114,124.99,99.99,2,0.25,1,,,
11/14/2019,13:56:35,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:56:46,115,124.99,99.99,2,0.24,1,,,
11/14/2019,13:56:57,114,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:57:08,114,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:57:19,109,124.99,99.99,2,0.24,1.01,,,
11/14/2019,13:57:30,114,124.99,99.99,2,0.24,1,,,
11/14/2019,13:57:41,144,124.99,99.99,2,0.24,1.02,,,
11/14/2019,13:57:52,115,124.99,99.99,2,0.25,1,,,
11/18/2019,11:30:40,1023,4.68,93.91,0.34,-0.19,0.91,,,
11/18/2019,11:30:51,1023,4.77,94.21,0.33,-0.2,0.9,,,
